Countries and areas,Under-5 mortality rate (U5MR) 1990,Under-5 mortality rate (U5MR) 2011,U5MR male 2011,U5MR female 2011,Infant mortality rate (under 1) 1990,Infant mortality rate (under 1) 2011,Neonatal  mortality  rate 2011,Total population (thousands) 2011,Annual no. of births (thousands) 2011,Annual no. of under-5 deaths (thousands) 2011,GNI per capita (US$) 2011,Life expectancy at birth (years) 2011,Total adult literacy rate (%) 2007_2011*,Primary school net enrolment ratio (%) 2008_2011*,Low birthweight (%) 2007_2011,Early initiation of breastfeeding (%),Exclusive breastfeeding <6 months (%),Introduction of solid semi-solid or soft foods 6_8 months (%),Breastfeeding at age 2 (%),Underweight (%)_ 2007_2011 moderate & severe ,Underweight (%)_ 2007_2011 severe,Stunting (%)_ 2007_2011*,Wasting (%)_ 2007_2011*,Overweight (%)_ 2007_2011*,Vitamin A supplementation full coverage_ (%) 2011,Iodized salt consumption (%) 2007_2011,Use of improved drinking water sources (%) 2010 total,Use of improved drinking water sources (%) 2010 urban,Use of improved drinking water sources (%) 2010 rural,Use of improved sanitation facilities (%) 2010 total,Use of improved sanitation facilities (%) 2010 urban,Use of improved sanitation facilities (%) 2010 rural,Immunization: BCG,Immunization: DPT1_,Immunization: DPT3_,Immunization: polio3,Immunization: MCV,Immunization: HepB3,Immunization: Hib3,Newborns protected against tetanus
Malawi,227,82.6,86.5,78.6,133.6,52.9,26.8,15380.888,685.778,51.819,340,54.21,74.76636,97.4706,12.5,58.29999924,71.9,86.4,76.8,12.8,3,47.1,4,9.2,96,49.7,83,95,80,51,49,51,99,98,97,86,96,97,97,87
Malaysia,17.2,6.5,7.1,5.9,14.8,5.6,3.4,28859.154,579.122,3.598,8420,74.221,93.11788558,_,10.5,_,_,_,_,12.9,_,17.2,_,_,_,17.6,100,100,99,96,96,95,99,99,99,99,95,97,99,90
Maldives,105.2,10.7,11.5,9.9,75.7,9.2,6.5,320.081,5.335,0.057,6530,76.848,98.39789794,96.76789,22.2,64.3,47.8,90.9,68.4,17.3,3.3,18.9,10.6,6.5,_,44,98,100,97,97,98,97,98,97,96,96,96,96,_,95
Mali,257.3,175.6,181.9,169.2,131.9,98.2,49.2,15839.538,727.526,121.468,610,51.444,31.09975395,65.81063,18.7,45.9,37.8,25.1,56.1,26.7,9.7,37.7,15.2,_,96,78.9,64,87,51,22,35,14,89,85,72,71,56,72,72,89
Malta,11.3,5.9,6.6,5.1,9.7,5.1,3.9,417.855,3.819,0.024,18620,79.634,92.36309006,93.81297,6.1,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,_,99,96,96,84,82,96,_
Marshall Islands,51.9,26.2,28.9,23.3,40.8,22.1,11.7,54.816,_,0.028,3910,_,_,99.40376,17.9,72.5,31.3,77,53.1,_,_,_,_,_,_,_,94,92,99,75,83,53,99,99,94,95,97,97,92,_
Mauritania,124.7,112.1,120,103.6,80.5,75.6,40.4,3541.54,118.02,12.863,1000,58.582,58.01511,74.37648,33.7,81.3,45.9,60.6,46.5,20.3,3.5,22.5,12.2,_,100,22.6,50,52,48,26,51,9,86,91,75,73,67,75,75,80
Mauritius,23.9,15.1,16.3,13.8,20.7,12.8,9.3,1306.593,16.466,0.23,8240,73.373,88.51396,93.39964,13.9,_,21,_,_,_,_,_,_,_,_,_,99,100,99,89,91,88,99,99,98,98,99,98,98,95
Mexico,48.8,15.7,17.3,14,38.1,13.4,7,114793.341,2194.666,33.832,9240,76.954,93.06893868,99.55391,7.3,18.2,18.63,27.4,_,3.4,_,15.5,2,7.6,_,91,96,97,91,85,87,79,99,99,97,97,98,98,97,88
Micronesia (Federated States of),56.4,41.5,47.1,35.5,43.9,33.5,17.4,111.542,2.732,0.114,2900,68.978,_,_,18,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,75,96,84,83,92,83,72,_
Monaco,7.8,3.9,4.3,3.4,6.3,3.2,2.1,35.427,_,0.002,183150,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,100,100,_,100,100,_,89,99,99,99,99,99,99,_
Mongolia,106.5,30.7,34.8,26.4,76.1,25.5,11.7,2800.114,65.221,2.188,2320,68.498,97.40807,99.05471,4.7,71.4,59.3,77.9,66,4.7,2.4,15.9,2.3,14.2,85,69.9,82,100,53,51,64,29,99,99,99,99,98,99,99,_
Montenegro,17.6,7.2,7.7,6.7,15.6,6.5,4.7,632.261,7.674,0.056,7060,74.573,98.37513,83.21752,3.9,25.20000076,19.3,35.3,12.8,1.7,0.5,7,4.1,15.6,_,70.7,98,99,96,90,92,87,97,98,95,95,91,91,90,_
Morocco,81.3,32.8,35.4,30.1,63.9,28.2,18.7,32272.974,620.253,20.779,2970,72.15,56.08367213,94.14564,15.4,52,31,65.6,14.7,3.1,_,14.9,2.3,10.7,_,21.2,83,98,61,70,83,52,99,99,99,98,95,98,99,89
Mozambique,225.7,103.1,106.7,99.4,150.9,71.6,33.6,23929.708,889.115,86.036,470,50.239,56.10843,92.00423,16,63.2,41.1,85.5,51.5,14.9,4.1,42.6,5.9,7.4,100,25.1,47,77,29,18,38,5,91,90,76,73,82,76,76,83
Myanmar,107.4,62.4,68.8,55.6,76.7,47.9,29.9,48336.763,824.086,52.571,_,65.193,92.29494,_,8.6,75.8,23.6,80.9,65.4,22.6,5.6,35.1,7.9,2.6,96,92.9,83,93,78,76,83,73,93,99,99,99,99,52,_,93
Namibia,72.8,41.5,44.5,38.4,49.1,29.6,18.2,2324.004,60.036,2.472,4700,62.465,88.75121,86.35408,15.7,71.3,23.9,90.5,28.4,16.6,3.8,29,7.5,4.6,_,62.9,93,99,90,32,57,17,89,88,82,85,74,82,82,83
Nauru,40,40,55.7,23.9,32.4,32.4,21.7,10.308,_,0.008,_,_,_,_,27,76.4,67.2,64.5,64.9,4.8,0.8,24,1,2.6,_,_,88,88,_,65,65,_,99,99,99,99,99,99,99,_
Nepal,134.6,48,48.6,47.4,93.5,39,27,30485.798,722.313,33.561,540,68.795,60.31452,_,17.8,44.5,69.6,65.5,92.6,28.8,7.7,40.5,10.9,1.4,91,80,89,93,88,31,48,27,97,96,92,92,88,92,92,82
Netherlands,8.3,4,4.4,3.6,6.8,3.4,2.6,16664.746,181.452,0.69,49730,80.734,_,99.97781,_,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,_,99,97,97,96,_,97,_
New Zealand,11.1,5.9,6.5,5.3,9.1,4.7,2.8,4414.509,64.367,0.39,29350,80.654,_,99.46772,6.3,_,_,_,_,_,_,_,_,_,_,_,100,100,100,_,_,_,_,95,95,95,93,95,94,_
Nicaragua,66.1,25.6,28.7,22.4,50.4,21.6,12.5,5869.859,137.86,3.643,1170,74.044,78.00298018,93.86945,8.9,54,30.6,76.1,42.9,5.5,0.8,21.7,1.4,6.2,2,96.8,85,98,68,52,63,37,98,99,98,99,99,98,98,81
Niger,313.7,124.5,127.2,121.7,132.6,66.4,31.8,16068.994,776.708,89.011,360,54.675,28.67242221,58.30571,26.7,42.4,26.9,64.9,_,38.5,11.8,51,12.3,3.5,95,32,49,100,39,9,34,4,61,80,75,44,76,75,75,84
Nigeria,213.6,124.1,129.1,119,126.6,78,39.4,162470.737,6457.908,755.685,1200,51.879,61.33857,57.55225,11.7,38.4,13.1,76.3,32.3,23.1,9,40.6,13.9,10.5,73,97.3,58,74,43,31,35,27,64,53,47,73,71,50,_,60
Niue,14.2,21.1,21.1,21.1,12.2,18,10.3,1.426,_,0.001,_,_,_,_,0,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,99,99,98,98,99,98,99,_
Norway,8.4,3.1,3.4,2.8,6.9,2.6,1.8,4924.848,60.783,0.197,88890,81.097,_,99.14498,4.9,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,_,99,94,94,93,_,95,_
Oman,47.5,8.7,9,8.4,35.8,7.3,5.1,2846.145,49.502,0.496,19260,72.974,86.62114302,98.17402,11.5,84.80000305,_,91.1,72.7,8.6,1,9.8,7.1,1.7,_,68.5,89,93,78,99,100,95,99,99,99,99,99,99,99,91
Pakistan,122.2,72,76,67.8,94.6,59.2,35.6,176745.364,4763.694,352.365,1120,65.437,54.89263615,74.05574,31.6,28.8,37.1,36.3,55,31.5,11.6,43.7,15.1,6.4,90,69.2,92,96,89,48,72,34,85,88,80,75,80,80,80,75
Palau,32.3,18.6,23.3,13.7,27,14.3,9.2,20.609,_,0.008,7250,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,85,83,96,100,100,100,_,99,84,98,85,91,85,_
Panama,33.3,19.5,21.2,17.7,26,16.7,8.9,3571.185,69.81,1.36,7910,76.128,94.09412379,98.66289,10.2,_,_,_,_,3.9,_,19.1,1.2,_,_,_,_,97,_,_,_,_,97,95,87,91,97,87,87,_
Papua New Guinea,88,57.8,60.4,55,64.3,44.8,22.6,7013.829,208.495,11.944,1480,62.791,60.60985,_,10.6,_,56.1,75.9,71.6,18.4,5.3,42.6,4.7,3.4,12,91.9,40,87,33,45,71,41,83,83,61,58,60,62,61,61
Paraguay,52.6,22.4,24.5,20.2,41.3,19.1,12.8,6568.29,157.651,3.44,2970,72.477,93.87091509,85.67698,6.3,47.1,24.4,66.6,14.3,3.4,_,17.5,1.1,7.1,_,93.4,86,99,66,71,90,40,94,97,90,87,93,90,90,85
Peru,75.1,18.1,19.5,16.7,53.6,14.1,9.2,29399.817,590.552,10.661,5500,73.99,89.59081302,98.10656,8.4,51.3,70.6,81.8,54.9,4.1,0.5,19.5,0.4,_,_,90.5,85,91,65,71,81,37,91,94,91,91,96,91,91,85
Philippines,57,25.4,28.8,21.8,40.2,20.2,12.2,94852.03,2357.583,57.293,2210,68.749,95.4200993,88.70735,21.2,53.5,34,90.1,34.2,21.6,_,32.3,6.9,3.3,91,44.5,92,93,92,74,79,69,84,85,80,80,79,76,14,76
Poland,17.3,5.8,6.2,5.3,15.1,4.9,3.5,38298.949,410.471,2.48,12480,76.126,99.51965,96.02223,5.9,_,_,_,_,_,_,_,_,_,_,_,_,100,_,_,96,_,93,99,99,96,98,98,99,_
Portugal,14.6,3.4,3.7,3.1,11.4,2.7,1.8,10689.663,96.501,0.324,21250,79.499,95.17895,99.35664,7.9,_,_,_,_,_,_,_,_,_,_,_,99,99,100,100,100,100,96,99,98,97,96,97,97,_
Qatar,20.2,7.7,8.2,7.2,16.5,6.4,4,1870.041,21.315,0.158,80440,78.371,96.28373979,96.15812,_,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,97,94,93,93,99,93,93,_
Republic of Korea,7.5,4.8,5.1,4.4,6.4,4.1,2.1,48391.343,479.395,2.615,20870,80.642,_,98.87197,3.8,_,_,_,_,_,_,_,_,_,_,_,98,100,88,100,100,100,99,99,99,98,99,99,_,_
Republic of Moldova,34.9,16,17.4,14.5,28.7,13.8,7.7,3544.864,43.549,0.765,1980,69.317,98.52359,90.10514,6,64.5,45.5,17.8,2.4,3.2,0.5,10.3,5.1,9.1,_,59.8,96,99,93,85,89,82,98,96,93,96,91,96,78,_
Romania,37.4,12.5,13.9,11,30.6,10.8,7.5,21436.495,220.534,2.834,7910,73.979,97.67535,87.58664,8,_,15.8,41,_,3.5,0.8,12.8,3.5,8.3,_,74,_,99,_,_,_,_,99,96,89,89,93,96,89,_
Russian Federation,27.3,11.9,13.3,10.4,23,9.8,6.5,142835.555,1688.954,20.173,10400,68.823,99.57627,95.65976,6,_,_,_,_,_,_,_,_,_,_,35,97,99,92,70,74,59,95,97,97,97,98,97,_,_
Rwanda,156.3,54.1,57,51.2,95,38.1,21.1,10942.95,449.233,22.813,570,55.442,71.05228,98.74703,7.1,71.3,84.9,79.1,83.5,11.4,2.3,44.2,2.8,6.7,76,99.3,65,76,63,55,52,56,99,98,97,93,95,97,97,85
Saint Kitts and Nevis,28.3,7.4,8.4,6.4,22.1,6.1,5.1,53.051,_,0.006,12480,_,_,86.0003,7.8,_,_,_,_,_,_,_,_,_,_,100,99,99,99,96,96,96,99,99,97,98,99,98,98,_
Saint Lucia,22.5,15.6,17.4,13.8,17.9,13.8,9.4,176.044,3.053,0.051,6680,74.641,_,89.71976,11.4,_,_,_,_,_,_,_,_,_,_,_,96,98,95,65,71,63,97,98,97,97,95,97,97,_
Saint Vincent and the Grenadines,26.5,20.9,22.7,19,21.2,19.5,13.2,109.365,1.836,0.04,6100,72.283,_,98.48205,7.9,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,96,99,98,95,95,99,96,96,_
Samoa,29.5,18.7,20.9,16.3,24.6,16,7.7,183.874,4.457,0.08,3190,72.444,98.79438,95.08476,10.2,87.6,51.3,71.1,73.9,_,_,_,_,_,_,_,96,96,96,98,98,98,99,99,91,91,67,91,91,_
San Marino,11.9,1.8,1.8,1.8,10.6,1.6,0.7,31.735,_,0.001,50400,_,_,91.99763,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,90,86,86,83,86,85,_
Sao Tome and Principe,96,88.8,91.9,85.6,62.2,58.2,29.3,168.526,5.189,0.446,1360,64.666,89.19499,98.63821,7.8,45.4,51.4,73.9,20,13.1,3.1,29.3,10.5,11.6,44,85.6,89,89,88,26,30,19,99,98,96,96,91,96,96,_
Saudi Arabia,42.7,9.2,10,8.4,34.4,7.9,5.4,28082.541,604.76,6,17820,73.911,86.55028,89.9292,_,_,_,_,_,_,_,_,_,6.1,_,_,_,97,_,_,100,_,98,99,98,98,98,98,98,_
Senegal,135.9,64.8,69.3,60.1,68.8,46.7,25.8,12767.556,470.836,29.613,1070,59.318,49.69512652,78.01328,18.6,22.70000076,39,60.8,50.7,17.7,4.5,26.5,10.1,2.5,_,47,72,93,56,52,70,39,95,94,83,73,82,83,83,88
Serbia,28.6,7.1,8,6.1,24.8,6.1,4.4,9853.969,109.767,0.749,5680,74.522,97.90237,94.53637,4.8,7.6,13.7,84.1,15.3,1.6,0.5,6.6,3.5,15.6,_,32.2,99,99,98,92,96,88,99,91,91,91,95,89,91,_
Seychelles,16.6,13.8,14.9,12.6,14,11.9,8.6,86.879,_,0.019,11130,_,91.83646335,_,_,_,_,_,_,_,_,_,_,_,_,_,_,100,_,_,98,_,99,99,99,99,99,99,99,_
Sierra Leone,266.7,185.3,194.2,176.1,157.6,119.2,49.4,5997.486,226.798,42.084,340,47.794,42.11758,_,10.5,44.6,31.6,25.1,48.2,21.7,8.3,44.4,8.5,10.1,99,62.6,55,87,35,13,23,6,96,94,84,81,80,84,84,85
Singapore,7.5,2.6,2.9,2.3,6.1,2,1.2,5187.933,47.029,0.131,42930,81.126,95.85732781,_,8.1,_,_,_,_,3.3,0.4,4.4,3.6,2.6,_,_,100,100,_,100,100,_,99,98,96,96,95,96,_,_
Slovakia,17.6,7.7,8.5,6.9,15.5,6.5,4.2,5471.502,57.766,0.449,16070,75.446,_,_,7,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,99,97,99,99,99,98,99,99,_
Slovenia,10.4,2.8,3,2.6,8.7,2.1,1.5,2035.012,20.319,0.059,23610,79.341,99.68961,97.1768,_,_,_,_,_,_,_,_,_,_,_,_,99,100,99,100,100,100,_,98,96,96,95,_,96,_
Solomon Islands,41.8,21.6,21,22.2,33.7,18.4,10.5,552.267,17.301,0.365,1110,67.852,_,_,12.5,75,73.7,81.4,67.4,11.8,2.4,32.8,4.3,2.5,_,_,_,_,_,_,98,_,89,94,88,93,73,88,88,85
Somalia,180,180,189.7,170.1,108.3,108.3,50.1,9556.873,415.682,71.128,_,51.219,_,_,_,26.29999924,9.1,15.6,35.4,31.6,11.6,41.9,13.2,4.7,12,1.2,29,66,7,23,52,6,41,52,41,49,46,_,_,64
South Africa,62.3,46.7,49.5,43.8,48.2,34.6,19.2,50459.978,1052.42,47.429,6960,52.797,88.71725067,90.31857,_,61.09999847,8,49,31,8.7,_,23.9,4.7,_,44,_,91,99,79,79,86,67,78,77,72,73,78,76,72,77
South Sudan_,217.3,120.5,121.9,119.1,128.6,76,37.7,10314.02,_,43.412,_,_,_,_,_,_,45.1,20.9,38,27.6,12.2,31.1,22.7,_,_,54,_,_,_,_,_,_,57,58,46,46,64,_,_,44
Spain,10.9,4.2,4.5,3.9,9.3,3.5,2.5,46454.895,499.105,2.14,30990,81.404,97.74889615,99.76303,_,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,_,99,97,97,95,97,97,_
Sri Lanka,28.9,12.2,13.4,10.9,24.2,10.5,7.7,21045.394,373.262,4.572,2580,74.941,91.18135934,94.13999,16.6,79.9,75.8,86.6,83.9,21.1,3.7,17.3,14.7,0.8,_,92.4,91,99,90,92,88,93,99,99,99,99,99,99,99,95
State of Palestine,43.1,22,23.3,20.7,35.6,19.7,13,4152.369,136.683,2.977,_,72.832,94.9320113,89.16238,7.3,_,26.5,_,_,_,_,_,_,_,_,85.7,85,86,81,92,92,92,98,99,99,99,99,98,_,_
Sudan_,122.8,86,90.6,81.2,77.3,56.6,31.1,34318.39,_,94.65,_,_,_,_,_,_,41,51.1,40.1,32.2,12.6,35,16.4,_,_,9.5,_,_,_,_,_,_,92,98,93,93,87,93,93,74
Suriname,51.9,29.5,32.5,26.2,44.1,26,16.2,529.419,9.603,0.277,7640,70.563,94.67575059,90.93983,11,34.40000153,2,58.4,15,7.2,0.7,10.7,4.9,4,_,_,92,97,81,83,90,66,_,90,86,86,85,86,86,93
Swaziland,83.3,103.6,112.9,94,61.3,69,34.6,1203.33,34.97,3.555,3300,48.718,87.43657,85.60941,8.7,54.5,44.1,66.3,10.7,5.8,1,30.9,0.8,10.8,41,51.6,71,91,65,57,64,55,98,98,91,85,98,91,91,86
Sweden,6.7,2.8,3,2.6,5.7,2.2,1.5,9440.747,113.203,0.311,53230,81.439,_,99.36721,_,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,23,99,98,98,96,_,98,_
Switzerland,8.1,4.4,4.8,4,6.6,4,3.1,7701.69,76.567,0.346,76380,82.338,_,99.18952,_,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,_,95,95,95,92,_,95,_
Syrian Arab Republic,36.1,15.3,16.4,14.1,29.6,13.2,8.7,20766.037,465.516,7.332,2750,75.85,83.44464,99.08737,10.3,45.5,42.6,_,24.9,10.1,_,27.5,11.5,17.9,_,79.3,90,93,86,95,96,93,90,86,72,75,80,66,72,94
Tajikistan,114.3,63.3,70,56.3,89.1,52.8,24.7,6976.958,194.103,12.063,870,67.529,99.69151,97.75741,9.7,57.1,25.4,15.3,34.2,15,6,39.2,6.7,_,99,61.9,64,92,54,94,95,94,97,98,96,97,98,96,96,_
Thailand,35,12.3,13.4,11.1,28.8,10.6,7.6,69518.555,824.017,10.133,4420,74.126,93.50647575,89.68001,6.6,49.59999847,15.1,_,_,7,0.6,15.6,4.7,8,_,47.2,96,97,95,96,95,96,99,99,99,99,98,98,_,91
The former Yugoslav Republic of Macedonia,37.6,9.6,10.5,8.7,34,8.7,6.4,2063.893,21.955,0.215,4730,74.847,97.26855,98.20126,5.5,21,23,40.5,12.8,1.3,0.2,4.9,1.8,16.2,_,94,100,100,99,88,92,82,98,95,95,95,98,90,89,_
Timor-Leste,180,54.1,57.2,50.8,135,45.8,23.8,1153.834,44.488,2.446,2730,62.475,58.3089828,85.91943,12,81.7,51.5,82.2,33.4,44.7,15.4,58.1,18.6,5.8,59,59.9,69,91,60,47,73,37,68,69,67,66,62,67,_,81
Togo,147,110.1,118.1,102,85.2,72.9,35.8,6154.813,194.71,20.908,560,57.062,57.09337923,94.25717,11.1,46,62.4,44,63.8,16.6,4.2,29.7,4.8,1.6,22,31.6,61,89,40,13,26,3,90,95,81,81,67,81,81,81
Tonga,24.5,15.4,17.7,13,20.7,13.2,7.8,104.509,2.777,0.043,3580,72.317,99.01845558,_,3,_,_,_,_,_,_,_,_,_,_,_,100,100,100,96,98,96,99,99,99,99,99,99,99,_
Trinidad and Tobago,36.8,27.7,30.9,24.4,32.1,24.5,18.4,1346.35,19.634,0.551,15040,70.124,98.78751,97.38833,18.8,41.20000076,12.8,83.4,22.4,_,_,_,_,4.9,_,27.8,94,98,93,92,92,92,_,96,90,91,92,90,90,_
Tunisia,51.1,16.2,17.5,14.8,40.3,13.9,9.5,10594.057,179.434,2.98,4070,74.515,77.56113139,99.44593,5.3,87.4,6.2,61.1,15.4,3.3,_,9,3.4,8.8,_,96.65,_,99,_,_,96,_,98,98,98,98,96,98,43,96
Turkey,72,15.2,15.9,14.4,59.8,11.5,9,73639.596,1288.624,20.279,10410,73.979,90.81672065,97.48598,11,39,41.6,67.5,21.6,1.7,0.3,12.3,0.8,_,_,68.9,100,100,99,90,97,75,97,98,97,97,97,96,97,90
Turkmenistan,94.3,52.5,57.2,47.6,75.2,44.6,21.6,5105.301,109.493,5.347,4110,64.986,99.58488,_,4.2,59.79999924,10.9,53.6,36.7,8.2,1.7,18.8,7.1,_,_,86.5,_,97,_,98,99,97,98,98,97,97,99,97,71,_
Tuvalu,57.6,30.1,32.8,27.3,44.7,25.1,13.6,9.847,_,0.006,5010,_,_,_,6.1,15,34.7,39.6,50.6,1.6,0.3,10,3.3,6.3,_,_,98,98,97,85,88,81,99,99,96,96,98,96,96,_
Uganda,178,89.9,96.8,82.8,106.1,57.9,27.6,34509.205,1545.11,130.933,510,54.116,73.21187991,90.99074,14,42.20000076,62,75.2,45.8,13.8,3.4,33.4,4.7,3.4,60,95.8,72,95,68,34,34,34,86,91,82,82,75,82,82,85
Ukraine,19.4,10.1,11.4,8.7,16.6,8.7,4.7,45190.18,494.153,5.269,3120,68.494,99.70679,91.13396,4.2,40.8,18,86.4,6,_,_,_,_,_,_,18.3,98,98,98,94,96,89,90,73,50,58,67,21,26,_
United Arab Emirates,22.2,6.6,7.2,6,18.9,5.6,3.9,7890.924,94.252,0.642,40760,76.546,90.03384502,_,_,_,_,_,_,_,_,_,_,_,_,_,100,100,100,98,98,95,98,94,94,94,94,94,94,_
United Kingdom,9.2,5.1,5.5,4.6,7.8,4.4,3,62417.431,761.07,4.091,37780,80.17,_,99.80582,7.6,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,_,98,95,95,90,_,95,_
United Republic of Tanzania,157.9,67.6,69.9,65.2,96.7,45.4,25.2,46218.486,1912.861,121.684,540,58.199,73.2055,98.22883,8.4,48.7,49.8,91.9,51,15.8,3.8,42,4.8,5.5,97,58.5,53,79,44,10,20,7,99,96,90,88,93,90,90,88
United States,11.3,7.5,8.2,6.8,9.4,6.4,4.3,313085.38,4322.394,32.168,48450,78.531,_,95.73804,7.8,_,_,_,_,1.1,0.2,3.3,0.4,8,_,_,99,100,94,100,100,99,_,98,94,94,90,91,88,_
Uruguay,23.1,10.3,11.3,9.2,20.2,8.7,5.4,3380.008,49.495,0.509,11860,77.005,98.07270629,99.47251,8.7,59.3,65.2,34.7,27,5.4,1.6,14.7,2.4,9.4,_,_,100,100,100,100,100,99,99,99,95,95,95,95,95,_
Uzbekistan,75.3,48.6,54.5,42.4,61.6,41.5,15,27760.267,588.666,29.595,1510,68.287,99.38703,92.14991,4.8,67.09999847,26.4,46.6,37.9,4,0.9,19,4.2,12.8,95,53.1,87,98,81,100,100,100,99,99,99,99,99,99,99,_
Vanuatu,38.5,13.2,13.9,12.4,31.3,11.4,6.8,245.619,7.179,0.093,2870,71.017,82.56803,_,10.2,71.9,40.1,67.8,31.7,_,_,_,_,4.7,_,22.9,90,98,87,57,64,54,81,78,68,67,52,59,_,75
Venezuela (Bolivarian Republic of),30.9,15,16.8,13.1,25.7,12.9,8.4,29436.891,598.472,8.945,11920,74.402,95.51199392,94.90626,8.2,_,_,_,_,3.7,_,15.6,5,6.4,_,_,_,_,_,_,_,_,95,90,78,78,86,78,78,50
Viet Nam,49.9,21.7,24.6,18.6,36.1,17.3,11.9,88791.996,1457.775,31.538,1260,75.181,93.17772,98.13881,5.1,39.7,17,50.4,19.4,11.7,1.8,22.7,4.1,_,99,45.1,95,99,93,76,94,68,98,97,95,96,96,95,95,87
Yemen,126,76.5,79.7,73.2,88.5,57,31.9,24799.88,939.589,70.082,1070,65.493,63.9094,78.16608,_,29.6,11.5,76.3,_,43.1,18.5,57.7,15.2,5,9,29.5,55,72,47,53,93,34,59,89,81,81,71,81,81,66
Zambia,192.8,82.9,85.9,79.8,114.2,52.7,27.4,13474.959,622.268,46.315,1160,49.025,71.2113,92.66735,11,56.5,60.9,94.3,41.7,14.6,2.9,45.4,5.2,8.4,72,77.4,61,87,46,48,57,43,88,87,81,83,83,81,81,81
Zimbabwe,79.2,67.1,72.8,61.3,52.5,42.8,29.9,12754.378,376.708,24.342,640,51.384,_,_,11,69.19999695,31.4,86,19.5,9.7,1.9,32,3,5.5,56,94,80,98,69,40,52,32,98,99,99,99,92,93,93,66
